domain,title,source_url,description,active_month,languages,rules,top_5_trends,total_users,total_posts,blacklist
mastodon.social,Mastodon,https://github.com/mastodon/mastodon,The original server operated by the Mastodon gGmbH non-profit,327503,"[""en""]","[{""id"": ""1"", ""text"": ""Sexually explicit or violent media must be marked as sensitive or with a content warning"", ""hint"": ""This includes content that is particularly provocative even if it may not show specific body parts, as well as dead bodies, bloody injuries, and other gore. Particularly obscene content may be prohibited entirely. Profile pictures and header images may not contain sexually explicit or violent media.""}, {""id"": ""2"", ""text"": ""No racism, sexism, homophobia, transphobia, ableism, xenophobia, or casteism."", ""hint"": ""Transphobic behavior such as intentional misgendering and deadnaming is strictly prohibited. Promotion of \""conversion therapy\"" is strictly prohibited. Criticism of governments and religions is permissible unless being used as a proxy for discrimination.""}, {""id"": ""3"", ""text"": ""No incitement of violence or promotion of violent ideologies"", ""hint"": ""Calling for people or groups to be assassinated, murdered, or attacked physically is strictly prohibited. Support for violent groups or events is prohibited.""}, {""id"": ""4"", ""text"": ""No harassment, block evasion, dogpiling, or doxxing of others"", ""hint"": ""Repeat attempts to communicate with users who have blocked you or creation of accounts solely to harass or insult individuals is strictly prohibited. Coordinated activity to attack other users is prohibited. Posting of private personal information about others is prohibited.""}, {""id"": ""7"", ""text"": ""Do not share information widely-known to be false and misleading"", ""hint"": ""False and misleading information and links from low-quality sources may not be posted, especially if they are likely to mislead or confuse others or endanger their safety.""}, {""id"": ""1008"", ""text"": ""Content created by others must be attributed, and use of generative AI must be disclosed"", ""hint"": ""Content created by others must clearly provide a reference to the author, creator, or source. For adult content, this should include performers. Accounts may not solely post AI-generated content.""}]","[{""day"": ""1746144000"", ""uses"": ""156"", ""accounts"": ""54""}, {""day"": ""1746144000"", ""uses"": ""117"", ""accounts"": ""112""}, {""day"": ""1746144000"", ""uses"": ""39"", ""accounts"": ""36""}, {""day"": ""1746144000"", ""uses"": ""2"", ""accounts"": ""2""}, {""day"": ""1746144000"", ""uses"": ""141"", ""accounts"": ""28""}]",2711879,129725014,ac.akirin.xyz | activitypub.awakari.com | bgzashtita.es | brighteon.social | bsd.moe | catcore.life | dicekey.jp | fr13nd5.com | freezepeach.xyz | kids.0px.io | krdtube.org | mastodon.sitejp.synology.me | minds.com | misskey.io | misskey.shunrin.com | m.n1l.dev | mstdn.foxfam.club | noagendasocial.com | onion.social | pika.moe | shitposter.club | shitposter.world | sinblr.com | social.onlinesession.app | social.quodverum.com | tickler.cc | toot.love | unfufadoo.net | urweibo.com | usasa.ky | 10minutepleroma.com | 5dollah.click | activitypub-proxy.cf | activitypub-troll.cf | aethy.com | annihilation.social | ap.***.st | asbestos.cafe | a.sc | ati**.***ss | bae.st | bais*****.top | bar***.*et | beef*****.*lub | beefyboys.win | best****.fun | beta.birdsite.live | beta.mstdn.cf | birb.elfenban.de | birb.redra1n.net | birb.stream | birdbots.leptonics.com | birdbridge.autonomy.earth | bird.evilcyberhacker.net | bird.froth.zone | bird.im-in.space | bird.istheguy.com | birdlive.grupotd.nat.cu | bird.makeup | birdmakeup.opiumpost.org | birdmakeup.sboulema.nl | bird.r669.live | bird.seafoam.space | birdsite.am-institute.swiss | birdsite.b93.dece.space | birdsite.blazelight.dev | birdsite.cloutier.co | birdsite.darkesttimeline.social | birdsite.frog.fashion | birdsite.gabeappleton.me | birdsite.gred.al | birdsite.james.moody.name | birdsite.jemverse.xyz | birdsite.kaijauch.de | birdsite.lakedrops.com | birdsite.link | birdsitelive.baguette-it.social | birdsitelive.bubbletea.dev | birdsitelive.falschgold.net | birdsitelive.kevinyank.com | birdsitelive.loca.lt | birdsitelive.moistgarbage.info | birdsitelive.samedwards.ca | birdsitelive.treffler.cloud | birdsite.mastodon.me.uk | birdsite.miisu.net | birdsite.monster | birdsite.nytpu.com | birdsite.oliviaappleton.com | birdsite.platypush.tech | birdsite.seejy.ninja | birdsite.skye.cx | birdsite.slashdev.space | birdsite.spectreos.de | birdsite.tcjc.uk | birdsite.thorlaksson.com | birdsite.toot.si | birdsite.vrparty.social | birdsite.weiranzhang.com | birdsite.wilde.cloud | bmu.1a23.studio | brands.town | breastmilk.club | bridge.birb.space | bridge.yopp.me | bur****.*oe | cachapa.xyz | cann****.*afe | cass****.**use | catgirl.life | cawfee.club | chaurocks.com | chil*****.**ace | chil*****.su | chil*****.top | chil*****.*hop | chud****.lol | clew.lol | clown.******sity | clubcyberia.co | cnet.site | comfyboy.club | coom.club | cotto******.cafe | cub.**ol | cubs**.*****res | cum.**mp | cum.desupost.soy | cum.salon | cunn*.***uty | cunny*****.*pace | cunn******.top | cunn*.****nce | cun****.cc | cutec*******.cafe | cuti*****.cc | cuti*****.org | cut***.**ne | cyberstorm.one | daffodil-11.org | daji******.com | decayable.ink | deepspace.cafe | deepw*********.net | degen******.fail | detroitriotcity.com | dogs*****.net | ede**.***th | eepy.****ess | eientei.org | eveningzoo.club | fedi.app | fedi.c*********n.org | feminism.lgbt | fil**.**ve | firebird.mullet.social | freak.******sity | freeatlantis.com | freecumextremist.com | freesoftwareextremist.com | freespeech.club | freespeechextremist.com | frennet.xyz | fsebugoutzone.org | gab.ai | gab.com | gameliberty.club | genderheretics.xyz | getgle.org | geti****.com | ghet**.****ter | gimm*****.cc | gitmo.life | gleasonator.com | glindr.org | glowers.club | gor****.*om | goy**.*pp | gtmastodon.online | h5q.net | head***.*afe | hen***.**by | honkwerx.tech | hunk.city | iddqd.social | imou**.****sed | imo***.**cs | instinctd.com | intkos.link | inum***.*ove | jaeger.website | kids******.fyi | kiss*****.moe | kiwifarms.cc | kiwifarms.is | kiwifarms.net | kodo.*****res | kog**.cc | kurosawa.moe | lanue*********a.es | leafposter.club | leonardwong.dev | lewdi*******.com | lewdi*******.vip | lick.*****.win | lit.t*******.xyz | lit.t*******.xyz | localtunnel.me | lol*.****ch | loli***.**cks | loli.****sed | loli****.***ool | lol*.***za | loli***.****ork | lol****.*op | lus*.*oe | maps******.de | mashtodon.alterracloud.com | mastinator.com | masto***.******.lol | mastodonhub.com | mastodon.social.fraudulent.link | mastodon.socialspill.com | mast-serv.site | mast.socialspill.com | mela******.tk | merovingian.club | min**.**fe | mir***.**ty | misskey-forkbomb.cf | momostr.pink | monk.**.****ness | monstergirl.space | mostr.pub | mouse.services | mugicha.club | nateh******.**line | nate*******.org | nationalist.social | nazi.social | neck*****.xyz | nee****.*op | ngrok.io | nicecrew.digital | nni*.***ce | noauthority.social | norwoodzero.net | ns.auction | nyanide.com | nya.u*******.moe | ob*.*h | oddb****.***ine | out****.*ip | outpoa.st | pac**.us | paravielfalt.zone | parcero.bond | parcero.casa | pawoo.net | paypig.org | ped*.****ol | pett****.art | pieville.net | pisskey.io | pleroma.adachi.party | pleroma.fun | pleroma.kitsunemimi.club | plero**.*****.love | pleroma.**********he.biz | plero**.*****.net | pleroma.us | pl.s*****.li | pl.wy********.art | poa.st | poast.tv | pooper.social | poster.place | postin*.*******.rocks | pouque.net | prete*******.biz | pupp******.cc | pupp******.org | rakket.app | rapemeat.express | rapem***.*****ions | rap*.*et | raplst.town | rdrama.cc | refusal.biz | repl.co | rot.***es | ryona.agency | schwartzwelt.xyz | seal.cafe | sexy****.xyz | shitpisscum.mooo.com | shitpost.cloud | shitposte.rs | shitposting.army | shortstackran.ch | shortstacksran.ch | sho**.***se | shot*****.xyz | shrimpcam.pw | shrimpposter.club | skinheads.social | skipp*******.com | sleepy.cafe | sneed.social | social.********y.net | social.freysa.ai | social.lovingexpressions.net | solagg.com | sovran.social | spinster.xyz | strelizia.net | supernets.social | switter.at | tastingtraffic.net | theblab.org | the.usualsuspects.lol | t.l3r.me | too****.*un | too****.*tf | trab****.com | truthsocialpro.org | tum**.**wn | tweetbridge.kogasa.de | tweet.pasture.moe | tweets.icu | twitiverse.com | twitter.1d4.us | twitter.activitypub.actor | twitter-bridge.cryobyte.net | twitterbridge.jannis.rocks | twitter.cryobyte.net | twitter.doesnotexist.club | twitter.grants.cafe | twitter.piriklub.eu | twtrbridge.de | twtr.carnivore.social | twtr.ingeechat.party | twtr.plus | twtr.vrij.social | twtr.wappie.land | twttr.yukineko.me | urchan.org | varis*******.net | wagesofsinisdeath.com | waifuappreciation.club | waifu.social | webmasto.online | weedis.life | whit******.dog | wolfgirl.bar | workers.dev | x.good.news | yes***.*et | yggdrasil.social | yot**.*ol | yot**.***ks | you**.**ve | youj*.*****ver | yum***.cc | zet***.**ub | zztails.gay
mstdn.social,Mastodon 🐘,https://github.com/mastodon/mastodon,A general-purpose Mastodon server with a 500 character limit. All languages are welcome.,14546,"[""en""]","[{""id"": ""2"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting."", ""hint"": """"}, {""id"": ""3"", ""text"": ""No spam or advertising."", ""hint"": """"}, {""id"": ""4"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism."", ""hint"": """"}, {""id"": ""5"", ""text"": ""No incitement of violence or promotion of violent ideologies."", ""hint"": """"}, {""id"": ""6"", ""text"": ""No harassment, dogpiling or doxxing of other users."", ""hint"": """"}, {""id"": ""7"", ""text"": ""No illegal content."", ""hint"": """"}, {""id"": ""11"", ""text"": ""No spreading of fake news or misinformation"", ""hint"": """"}, {""id"": ""12"", ""text"": ""Content created by others must be attributed, and use of AI must be disclosed. Profiles that only post AI-generated content will not be tolerated."", ""hint"": """"}]","[{""day"": ""1746144000"", ""uses"": ""146"", ""accounts"": ""55""}, {""day"": ""1746144000"", ""uses"": ""104"", ""accounts"": ""100""}, {""day"": ""1746144000"", ""uses"": ""138"", ""accounts"": ""27""}, {""day"": ""1746144000"", ""uses"": ""2"", ""accounts"": ""2""}, {""day"": ""1746144000"", ""uses"": ""135"", ""accounts"": ""25""}]",260323,19904208,aet**.*om | ali**.*ar | a.sukazyo.cc | birdsitelive.bubbletea.dev | birdsi**.*****.cloud | channels.im | comingto.org | electroverse.tech | erot**.***ial | freesp************t.com | freifunk.social | goy**.*pp | h5*.**t | india.goonj.xyz | kids.0px.io | kink*.*****ess | kinky********.com | lawsocial.org | mastodon.acm.org | mastodon.buzhangjiuzhou.com | mastodo*.************ns.org | mastodon.hongkongers.net | mastodon.openjw.com | mast****.*age | mis****.io | mk.chiwa.net | momo***.*ink | mona**.***ine | mstdn.business | mst**.jp | nsfwmisskey.narazaka.net | pik*.*oe | pok****.*en | qaf.men | respublicae.eu | sea*.**fe | seda.social | shit******.*lub | shitp*****.*orld | sho**.***se | swi****.at | theauti*************.quest | 174*.**fo | 3z*.*u | 5dol***.**ick | abr****.su | ac.a*****.xyz | activitypub.awakari.app | activitypub.awakari.com | activi*********xy.cf | *.acti***********ll.cf | activi*********ll.cf | ai.***i | annih*******.**cial | app.*******.com | a.sc | asoc***.***ial | aspu****.org | *.awakari.app | awakari.app | *.aw*****.com | awa****.*om | ba*.*t | ba*.*x | bar***.*et | bass**.***ial | bbs.k*******.com | beef*****.win | bir*.****up | blog.e*********b.xyz | boym****.biz | brea******.*lub | brigh****.**cial | cae***.**ve | cann****.*afe | carni****.**cial | cass***.***ial | catg***.*ife | cens******.icu | chil*****.**ace | chil*****.su | chud****.lol | chu****.cc | cle*.*ol | club*******.co | conte********.net | cout**.***ial | cruc****.**rld | cum.***on | cunny*****.*pace | cunn******.top | cunn*.****nce | cun****.cc | cuti*****.cc | darl**.**.uk | deca*****.ink | detro**********.com | d-fens.systems | dill.*******.moe | djsu****.com | ede**.***th | eepy.****ess | eie****.*rg | elder*******.*pace | esma*******.xyz | even******.*lub | fans.sonichu.com | fedi.c*********n.org | fedi.******.*o.uk | fedive*********c.com | fedi.****.moe | femb***.*ove | feti******.com | fr1****.*om | freak.******sity | freea*******.com | freecu*********t.com | free.******.link | frees*****.*roup | freewa**********t.wtf | frie*****.me | furville.*************.africa | fwediv****.*******a.com | ga*.**m | gamel******.club | gear******.*aus | gh0**.**ve | ghet**.****ter | git.e**********.xyz | glea*******.com | gl**.*i | gli***.*rg | glow***.*lub | head***.*afe | hel**.**fe | helladoge.com | hen***.**by | hitch*****.**cial | homo*.***ial | honk****.*ech | hor**.***se | hub.na*********.*nline | hun*.**ty | iddq*.***ial | imou**.****sed | imo***.**cs | init****.**ace | jiao****.org | kaz**.ma | kit***.**fe | kit**.**us | kiwi*****.cc | kodo.*****res | krd****.*rg | lewdi*******.com | libe****.com | lol*.***za | loli.rodeo | lolison.top | lovefo*********s.com | m.an******.dev | maps******.de | mar***.**ub | mas****.st | mast******.com | *.mas********.com | mastodo*.******.*****ogy.me | mastodon.*****************psmil.in | masto*********.org | mastod**.*******s.org | m.co*****.*ech | mi.****.jp | mir***.**ty | misske*.******.games | mis****.ee | missk**********b.cf | misskey.mofumofu.me | mi.***.fm | m.m***.*oe | m.n**.*ev | moa.m**********.com | moar.*******.xyz | mor***.ch | mos**.*ub | m.t**.fm | mugi***.*lub | nationalist.social | nekt**.***ial | nicec***.***ital | nni*.***ce | noage*********.com | noaut******.**cial | norw*******.net | ns.*****on | ob*.*h | oyasumi.ski | pac**.us | parle*.*******.club | paw**.*et | pay***.*rg | ped*.****ol | pett****.art | photos.**********b.xyz | piclub.social | piev****.net | pl.absol*************ary.org | plerom*.**********b.xyz | plero**.*****.love | pleroma.**********he.biz | plero**.******.com | pl.ga****.***osed | pl.ki*********.club | pl.l******.cc | pl.nat********.*nline | pl.s*****.li | po*.*t | poop**.***ial | por****.*om | post**.**ace | postin*.*******.rocks | pra***.me | pul*.****al | rak***.*pp | rapem***.***ress | rape****.*hop | rapem***.*****ions | rap*.*et | rdr***.cc | ref****.*lc | re**.*o | rojo****.com | rot.***es | ryona.agency | sacre*.*****.*aith | shigu******.club | shitpi*****.***o.com | shit****.**oud | short*******n.ch | short********n.ch | shrim*******.club | silli****.****rver | skin*****.eu | skin*****.io | skinh****.***work | skinh****.**cial | skin*****.uk | skipp*******.com | snee*.***ial | sns.******.com | social.076.ne.jp | socia*.******.com | soci**.****.com | social.cutefunny.net | social.********x.xyz | social.**********b.xyz | social.***********e.com | socia*.*****a.ai | socia*.******.org | social.***********s.com | social.*********.tatar | social.l*************ons.net | social.************te.xyz | socia*.********m.pw | social.********er.de | soc.*******.moe | sol***.*om | spin****.xyz | stagi**.****r.ma | startr************g.com | super****.**cial | talk*****.com | tasti*********.net | terr****.**ace | the****.*rg | thed****.icu | threads.net | tic****.cc | *.ti******.org | tk*.*m | toot*.***.li | tran*******.win | truthsocial.co.in | truthsocial.com | truth*********.org | turt****.***ine | tw.9****.net | twt*.**us | unexpec***.*********r.club | urw****.*om | usa**.ky | varis*******.net | vrij.social | vtd**.*om | winte*****.*r.to | wolf****.bar | www.g*********.com | xn--p1a****.******asehdb | xsc***.*op | yggdr****.**cial | you**.**ve
infosec.exchange,Infosec Exchange,https://github.com/glitch-soc/mastodon,"A Mastodon instance for info/cyber security-minded people.
",13319,"[""en""]","[{""id"": ""1"", ""text"": ""Do unto others as you think they would want done to them.  "", ""hint"": """"}, {""id"": ""2"", ""text"": ""Mark sensitive content with a content warning.  "", ""hint"": """"}, {""id"": ""3"", ""text"": ""Gratuitous obscenity that serves no practical benefit to a discussion is not permitted."", ""hint"": """"}, {""id"": ""4"", ""text"": ""Illegal content such as child pornography, unsurprisingly, is not permitted"", ""hint"": """"}, {""id"": ""5"", ""text"": ""Spam is not permitted, this includes creating spam accounts that only serve to provide profile links or advertise products and services. "", ""hint"": """"}, {""id"": ""6"", ""text"": ""Hate speech and abusive or threatening behavior is not permitted, specifically that which directed at any gender, nationality, religion, race, age, pizza topping preference, or sexual identity.  One can hate on systemd all day long here."", ""hint"": """"}, {""id"": ""7"", ""text"": ""Lack of a specific rule against a certain behavior does not indicate acceptance of that behavior.  Each of us has a limited amount of time in this world.  Don't be a jerk.  "", ""hint"": """"}, {""id"": ""8"", ""text"": ""Violating one or more of these rules may result in an immediate, permanent ban without notice or warning.  "", ""hint"": """"}, {""id"": ""9"", ""text"": ""You may not impersonate a person or brand without a clear indication the account is unofficial and/or a parody. Parody accounts are permitted, as are legitimate brand accounts. "", ""hint"": """"}, {""id"": ""11"", ""text"": ""No attacks against (or from) the instance.\r\n\r\nYou may not do anything which may impact confidentiality, integrity or availability of Infosec.Exchange, the users of the service or their data.\r\nFor more details see https://wiki.infosec.exchange/rules/start"", ""hint"": """"}, {""id"": ""12"", ""text"": ""No doxing (aka doxxing) or disclosing personal information without consent and as a means of harassing or causing others to harass another person."", ""hint"": """"}, {""id"": ""13"", ""text"": ""No harassment in the form of continued engagement after a person has requested contact to stop"", ""hint"": """"}, {""id"": ""14"", ""text"": ""Automated posting:\r\n- accounts that post >50% using automation must be labeled as a “bot” in the user profile to help provide a visual indicator to visitors\r\n- automated posts must be limited to one post per hour/24 per day with post visibility set to “public”. There is no limit on “unlisted” posts."", ""hint"": """"}, {""id"": ""15"", ""text"": ""Soliciting or inciting violence or harm against a person or segment of people is not permitted. "", ""hint"": """"}]","[{""day"": ""1746144000"", ""uses"": ""141"", ""accounts"": ""51""}, {""day"": ""1746144000"", ""uses"": ""87"", ""accounts"": ""85""}, {""day"": ""1746144000"", ""uses"": ""5"", ""accounts"": ""5""}, {""day"": ""1746144000"", ""uses"": ""2"", ""accounts"": ""2""}, {""day"": ""1746144000"", ""uses"": ""118"", ""accounts"": ""25""}]",75725,4296664,430022.xyz | adforward.org | amiga.team | ap.maladaptive.art | archaeology.social | arguos.com | arihi.me | azemet.space | babaded.tk | babka.social | batchats.net | beyond.forum | bibletalk.social | bikers.social | brandenburg.social | bynight.cafe | cathode.church | charcha.cc | chrisduffley.com | cmm.fyi | come-together.nl | comunitate.ascorcluj.com | cursoryreview.org | cuyes.mooo.com | devsrv.farhan.codes | dreamersreality.dev | educhat.social | elict.net | extraordinarygeeks.social | federated.place | fpl.social | freeatlantis.com | freemasonry.social | freesoftwareextremist.com | frmsn.network | games.retrotalk.live | game-tecx.de | gametoots.de | geekspot.com | graeber.social | groupsebelah.com | gwitter.li | hacks.fi | handlewalks.masto.host | hdty.in | h-i.social | hollow.raccoon.quest | hub.raf.rs | imouto.pics | ipv6.social | i.transmit.love | julialang.social | kalmar.social | kho.dev | knse.net | kohodon.fedicity.net | kokuusa.club | kommunismus.social | kopimi.space | kotodama.space | lajna.si | lemmy.ml | lemmynsfw.com | library.love | lizards.live | madworld.social | marimoko.biz | mastdn.social | mast.lukeog.com | masto1.100flowers.tech | mastodom.social | mastodon.aargaunet.ch | mastodon.ashevillains.org | mastodon.conquestuniverse.com | mastodon.creation.md | mastodon.dragonbox.de | mastodon.grafa.com | mastodon-grafa.social | mastodon.gramschladen.de | mastodon.in.th | mastodon.joaoleitao.org | mastodon.kevnet.cloud | mastodon.linuxmuster.net | mastodon.lookbusy.org | mastodon.mailstation.de | mastodon.multiclan.ninja | mastodon.my | mastodon.r3networks.uk | mastodon.starnet.cz | mastodon.staycuriousandkeepsmil.in | mastodon.svgun.ru | mastodon-swiss.org | mastodon.terabyte-computing.com | mastodonters.nl | mastodon.thedirtydis.co | mastodon-uk.net | mastodon.zorqz.com | mastonederland.nl | matapacos.dog | metsubo-jinrai.net | misskey.io | m.kog.to | m.mxin.moe | mostr.pub | mstdn.business | mstdn.gao.works | mstdn.jp | mstdn.shinkaifan.com | muzzlespace.com | nasface.cz | naturalstate.social | neomobius.com | neurodiversity-in.au | neuss.social | niederbayern.social | noauthority.social | nycity.social | obufalus.jp | odenwald.social | onion.social | onlybsds.com | ostfrieslnd.social | ottawaks.us | penfount.social | phoenixradio1208.com | pho.social | ploen.social | pravda.me | prf.me | pxlmo.net | rabbitrabbitbrownrabbit.hostdon.ne.jp | rathe.social | rdrama.cc | redwings.social | rope-access-work.com | rtypedbs.hostdon.ne.jp | ruhrpott.social | rvagc.social | sandiegourbanists.com | sardegna.social | semiosen.de | sensitive.hostdon.ne.jp | shitposter.club | smooth.guru | social.consoledated.com | social.cutefunny.net | social.esmarconf.org | social.foederiert.de | social.freysa.ai | social.gamesathome.net | social.pogo.community | social.randomserver.org | social.sargasso.nl | social.sp-codes.de | social.uggs.io | sotl.social | spurlock.social | stormskey.works | strode.zone | swiss-chaos.social | tallahasseesocial.org | tech.retrotalk.live | techtoots.com | tenforward.social | terere.social | thebigeasy.space | threads.net | ticos.social | tmi.community | toot.fan | toot.quest | toots.258990001.xyz | uddannelse.social | vhspace.social | videochina.net | vkfksdmltl.co | washcan.social | waterlily.tokyo | wellcr.app | westen.social | weyhe.social | whitesmokebbq.social | woodworking.group | worldnl.com | www.blabbergoats.com | zenzone.social | 5dollah.click | abraham.su | ac.akirin.xyz | acat.world | activitypub.awakari.com | adachi.party | aether.run | aethy.com | akko.anemoneya.me | ak.kyaruc.moe | akm.longyap.name.my | amala.schwartzwelt.xyz | andrew.xyz | annihilation.social | anvil.social | asbestos.cafe | asocial.social | a.sukazyo.cc | awakari.app | awakari.com | azumanga.gay | backpacklife.social | bae.st | bajax.us | baraag.net | bassam.social | beefyboys.win | besties.com | birdbridge.autonomy.earth | boks.moe | bols.games | bondsdogs.com | boymoder.biz | brasil.goonj.xyz | breastmilk.club | brighteon.social | bsl.sid500.com | cachapa.xyz | caekis.love | cannibal.cafe | catcore.life | catgirls.nya.gay | catposter.club | cawfee.club | chatting-tw.xyz | cherryberry.pink | chickenfan.club | childlove.space | childlove.su | chilemasto.casa | chudbuds.lol | clew.lol | cloud.zannoni.eu | clubcyberia.co | comingto.org | coolsite.win | cottoncandy.cafe | crlf.ninja | cryptodon.lol | cum.camp | cum.salon | cunnyborea.space | cunnyborea.top | cunny.win | cybercriminal.eu | cybergladius.social | dark.doompill.com | decayable.ink | detroitriotcity.com | devs.live | dicekey.jp | don.neet.co.jp | dox.**nd | drunkposter.club | dw.n1l.dev | edusocial.it | eientei.org | elderscrolls.space | electroverse.tech | entomophagy.world | eveningzoo.club | fairy.id | federated.fun | federate.net | fedi.cybercriminal.eu | fedi.pawlicker.com | fedi.syspxl.xyz | fediverse-lite.com | femboys.love | feministwiki.org | fetistodon.com | f.haeder.net | flashist.video | fluf.club | forestver.se | forum-lucifer.com | fr13nd5.com | freak.university | freecumextremist.com | freesocial.co | freespeechextremist.com | freifunk.social | friendica.eskimo.com | froth.zone | fsebugoutzone.org | furville.drinkanddrive.africa | fusionpros.social | galaxyrailway.link | gameliberty.club | gaydadon.jp | gearlandia.haus | genderheretics.xyz | geofront.rocks | gervtuber.de | gh0st.live | glaceon.social | gleasonator.com | gleasonator.dev | glee.li | goreslut.xyx | goyim.social | heymaven.com | history.lol | hkgk.nishi.boats | hunk.city | iddqd.social | ifrit.gaia.ff14-mstdn.xyz | india.goonj.xyz | indiegameskey.net | instagram.com | kasumi.loliimoutolove.com | kernkraft.social | kids.0px.io | kitsui.life | kitsunemimi.club | kiwifarms.cc | kousaka.space | krems.social | k.yumeka.xyz | lab.nyanide.com | leafposter.club | lgbt.io | lick.cunny.win | linguisten.info | loli.church | loliimoutolove.com | loli.rodeo | majestic12.airforce | mapsupport.de | marsey.moe | mashtodon.alterracloud.com | masochi.st | mastinator.com | masto.asonix.dog | mastodon.adtension.com | mastodon.cocamserverguild.com | mastodon.cubsex.lol | mastodon-ero.xyz | mastodon.integrata-stiftung.de | mastodon.omikron-alpha.net | mastodon.openjw.com | mastodon.saarland | mastodon.se | mastodon.snmsoc.org | masto.oyd.app | maven.ly | m.corduba.tech | member.thenobody.club | mentalhealth-masto.com | merovingian.club | metreee.com | mi.7mi.site | miiverse.cafe | milker.cafe | milkiyatelier.quest | minor.cafe | mirr0r.city | misskey.chiffon-lab.tech | misskey.doujin.games | misskey-forkbomb.cf | misskey.lalafell.org | misskey.mofumofu.me | misskey.pepabo.com | misskey.shunrin.com | misskey.suzuri.jp | misskey.systems | miss.mouse.services | mkacg.com | mk.chiwa.net | mk.hoshisaki-h.com | mk.wherelinux.xyz | m.n1l.dev | moar.cachapa.xyz | molaguay.xyz | monads.online | morale.ch | moresci.sale | mouse.photos | mrhands.horse | mst3k.interlinked.me | mstdn.beer | m.techsocial.site | mugicha.club | n7.social | nagomisskey.com | natehiggers.org | nationalist.social | nekton.social | neuroscience-mastodon.com | nicecrew.digital | norwoodzero.net | nsfwmisskey.narazaka.net | obo.sh | onevery.ignorelist.com | onionfarms.org | outpoa.st | oyasumi.ski | paravielfalt.zone | parcero.bond | pawoo.net | pettanko.art | piclub.social | pieville.net | pika.moe | pirateheaven.eu | pixie.town | pl.absolutelyproprietary.org | plagu.ee | pl.dav1d.lol | pl.dav1d.xyz | pleroma.adachi.party | pleroma.nobodyhasthe.biz | plush.city | plush.moe | poa.st | pooper.social | portside.social | post.chode.pics | poster.place | posting.lolicon.rocks | pouque.net | qaf.men | rage.love | rally.guide | randland.party | rape.pet | repl.co | republic.red | rot.gives | rqd2.net | ryona.agency | scfzfilm.org | seal.cafe | seda.social | shaw.app | sh.itjust.works | shitpisscum.mooo.com | shitpost.cloud | shitposter.world | shortstackran.ch | shortstacksran.ch | shotgunlife.social | shrike.club | shrimpposter.club | silliness.observer | sleepy.cafe | slime.computer | sneed.social | soapbox.midwaytrades.com | social.handholding.io | social.here.blue | social.holocaust.tatar | social.icod.de | social.jonathancandler.com | social.lovingexpressions.net | social.mcjarbo.com | social.mooneyed.de | social.mrhands.horse | social.onlinesession.app | solarpunk.moe | sperg.city | spinster.xyz | startrekshitposting.com | subs4social.xyz | sunbeam.city | supernets.social | tcpcat.net | teamhydra.social | the.asbestos.cafe | thechimp.zone | thewiring.com | thoughtful.social | tickler.cc | tnd.lol | toot.dswhi.com | tootnet.nl | toot.poedelwitz.de | toots.hwl.li | transforthe.win | trayvonmart.in | troll.cafe | truthsocial.co.in | tuusin.misono-ya.info | udon.icu | urweibo.com | usasa.ky | varishangout.net | vigaucho.eu | vtuber.house | weirder.earth | whitewomen.dog | wolfgirl.bar | worm.pink | writeout.ink | www.gctaisentl.com | yggdrasil.social | zztails.gay
