Topic,Count,Name,Representation,Representative_Docs
-1,310,-1_spam_accounts_advertising_racism,"['spam', 'accounts', 'advertising', 'racism', 'transphobia', 'misgendering', 'promotion', 'homophobia', 'deadnaming', 'discrimination']","['respectful racism sexism homophobia transphobia including targeted misgendering deadnaming promotion called conversion therapy xenophobia forms hate discrimination welcome behaviour elsewhere may considered brought attention', 'respectful racism sexism homophobia transphobia including targeted misgendering deadnaming promotion called conversion therapy xenophobia forms hate discrimination welcome behaviour elsewhere may considered brought attention', 'discrimination including limited racism sexism homophobia transphobia including targeted misgendering deadnaming promotion called conversion therapy']"
0,107,0_content_nsfw_warning_cw,"['content', 'nsfw', 'warning', 'cw', 'warnings', 'adult', 'sensitive', 'nudity', 'explicit', 'depictions']","['nsfw without content warning', 'posts contain nudity sexually explicit violent content must marked nsfw content warning media marked sensitive posting see https fedi tips use content warnings cws mastodon fediverse use cw', 'nsfw content warning nsfw content must cw unsure use cw']"
1,92,1_harassment_threats_harass_bullying,"['harassment', 'threats', 'harass', 'bullying', 'kind', 'attacks', 'trolling', 'users', 'violence', 'anyone']","['harassment bullying doxxing users', 'harassment users', 'harass anyone participate group harassment anyone otherwise engage personal attacks posting threatening post people personally identifying information doxing constitutes harassment']"
2,78,2_ideologies_incitement_violence_promotion,"['ideologies', 'incitement', 'violence', 'promotion', 'violent', 'white', 'supremacy', 'harm', 'self', 'attacked']","['incitement violence promotion violent ideologies', 'incitement violence promotion violent ideologies', 'incitement violence promotion violent ideologies']"
3,69,3_illegal_laws_content_states,"['illegal', 'laws', 'content', 'states', 'united', 'copyrighted', 'law', 'upload', 'dmca', 'child']","['content illegal united states', 'content illegal united states', 'content illegal united states']"
4,55,4_bots_bot_unlisted_automated,"['bots', 'bot', 'unlisted', 'automated', 'post', 'accounts', 'posts', 'hour', 'must', 'twitter']","['automated bot accounts must enable bot flag account preferences respect nobot markers post unlisted unless making less one post per hour', 'automated bot accounts must enable bot flag account preferences respect nobot markers post unlisted unless making less one post per hour', 'may operate bots must follow rules must japanese media related bots post 4 public posts hour 16 unlisted posts hour repetitive posts unless unlisted bots cannot use chat bots g chatgpt']"
5,46,5_respect_treat_respectful_everyone,"['respect', 'treat', 'respectful', 'everyone', 'welcoming', 'people', 'nice', 'good', 'pronouns', 'treated']","['always kind polite treat others respect', 'treat people respect', 'treat everyone respect']"
6,44,6_report_rules_admins_admin,"['report', 'rules', 'admins', 'admin', 'team', 'moderation', 'moderators', 'ban', 'moderator', 'final']","['please report violations rules admin', 'please report issues admins moderators let us take care please act admin moderator instead report adverse activity team handle properly well make reports admins', 'see violation rules report moderation team']"
7,38,7_impersonation_parody_clearly_impersonate,"['impersonation', 'parody', 'clearly', 'impersonate', 'unless', 'accounts', 'organisations', 'person', 'individuals', 'figures']","['impersonation individuals public figures organisations unless clearly marked parody', 'impersonation individuals public figures organisations unless clearly marked parody', 'impersonation individuals public figures organisations unless clearly marked parody']"
8,36,8_dogpiling_doxxing_harassment_users,"['dogpiling', 'doxxing', 'harassment', 'users', 'contacted', 'wish', 'contact', 'form', 'user', 'brigading']","['harassment dogpiling doxxing users', 'harassment dogpiling doxxing users', 'harassment dogpiling doxxing users']"
9,32,9_years_18_least_old,"['years', '18', 'least', 'old', '13', 'age', '16', 'older', 'must', 'service']","['must least 18 years old use site', 'must least 18 years old use service', 'use service least 18 years old']"
10,30,10_marked_media_sexually_sensitive,"['marked', 'media', 'sexually', 'sensitive', 'posting', 'explicit', 'violent', 'must', 'warned', 'offensive']","['sexually explicit violent media must marked sensitive posting', 'sexually explicit violent media must marked sensitive posting', 'sexually explicit violent media must marked sensitive posting']"
11,30,11_false_misleading_intentionally_share,"['false', 'misleading', 'intentionally', 'share', 'information', 'widely', 'known', 'knowingly', 'quality', 'endanger']","['share intentionally false misleading information', 'share intentionally false misleading information', 'share intentionally false misleading information']"
12,27,12_misinformation_false_misleading_information,"['misinformation', 'false', 'misleading', 'information', 'disinformation', 'intentionally', 'spreading', 'news', 'fake', 'pose']","['intentionally false misleading information', 'misinformation disinformation share intentionally false misleading information', 'disinformation false misleading information']"
13,27,13_english_languages_language_posts,"['english', 'languages', 'language', 'posts', 'please', 'norwegian', 'deepl', 'translation', 'berlin', 'preferred']","['english language admin team primary language english language trained qualified support', 'english preferred please make sure members group understand please use english language links posts languages ok', 'languages allowed norwegian english portuguese moderation issues posts languages deleted']"
14,26,14_advertising_commercial_seo_ads,"['advertising', 'commercial', 'seo', 'ads', 'spam', 'music', 'advertisements', 'creative', 'promotional', 'campaigns']","['spam including commercial advertising promotion seo', 'spam includes commercial advertising promotion services seo', 'spam includes commercial advertising promotion services seo']"
15,26,15_sexism_casteism_xenophobia_racism,"['sexism', 'casteism', 'xenophobia', 'racism', 'transphobia', 'homophobia', 'ableism', 'bigotry', 'anti', 'semitism']","['racism sexism homophobia transphobia xenophobia casteism', 'racism sexism homophobia transphobia xenophobia casteism', 'racism sexism homophobia transphobia xenophobia casteism']"
